wafer_id,true_rate,recovered_rate
W_F_0000,0.04781433194875717,0.04479092409281388
W_F_0001,0.025420624762773514,0.02633994843475185
W_F_0002,0.0036752568557858467,0.002346268893514149
W_F_0004,0.020139623433351517,0.02511939575621166
W_F_0005,0.013208992779254913,0.01216823924947524
W_F_0006,0.016479339450597763,0.02260658989820514
W_F_0007,0.026737375184893608,0.03778752311184791
W_F_0008,0.02570445090532303,0.022050852292483776
W_F_0011,0.05181914195418358,0.07350631779003869
W_F_0012,0.004782713949680328,0.004379263845418662
W_F_0013,0.03036104328930378,0.040107352995411946
W_F_0015,0.036772508174180984,0.03785924750584057
W_F_0017,0.0011901918333023787,0.004939418579653659
W_F_0018,0.00537536246702075,0.003204525624369595
W_F_0020,0.001660273177549243,0.0031798969772636057
W_F_0021,0.01054430566728115,0.01533485629676969
W_F_0022,0.016453849151730537,0.017646933591202178
W_F_0023,0.012592178769409657,0.007536195960406276
W_F_0024,0.03531957045197487,0.03606074677371736
W_F_0025,0.03526012971997261,0.037671436215439474
W_F_0026,0.047055602073669434,0.04548820343279348
W_F_0028,0.01566438563168049,0.02613769909295357
W_F_0029,0.06991062313318253,0.08303570962149343
W_F_0031,0.015833834186196327,0.013437132266123666
W_F_0032,0.007770208176225424,0.009562693703622886
W_F_0033,0.007107164710760117,0.017852718898339122
W_F_0034,0.005319952964782715,0.004759966289832712
W_F_0035,0.011775452643632889,0.01854119863612151
W_F_0037,0.020213350653648376,0.041419809644399945
W_F_0038,0.028488079085946083,0.031002005623712227
W_F_0039,0.09323602169752121,0.09049783148200255
W_F_0040,0.006648008245974779,0.007433873118727934
W_F_0041,0.003179546445608139,0.003592733916389838
W_F_0042,0.00867463182657957,0.006728247943839137
W_F_0043,0.025378096848726273,0.02664204832359237
W_F_0044,0.01380056794732809,0.020622012159014366
W_F_0045,0.03920577093958855,0.03680561084181305
W_F_0046,0.002667614258825779,0.0022550353047960723
W_F_0048,0.0016254333313554525,0.0020536586540576794
W_F_0049,0.08642404526472092,0.0776508180504917
W_N_0000,0.022702369838953018,0.034054378902623125
W_N_0001,0.009188628755509853,0.013003331580871441
W_N_0003,0.005312324035912752,0.007509882490903553
W_N_0004,0.010955573059618473,0.012461029960222067
W_N_0005,0.011346396058797836,0.00610050347385089
W_N_0007,6.325451249722391e-05,0.0011586711071782524
W_N_0008,0.007387144025415182,0.003904251398401387
W_N_0009,0.005392152816057205,0.004503698324982803
W_N_0011,0.020092502236366272,0.01565185384567399
W_N_0013,0.0015094500267878175,0.0017590010462400288
W_N_0014,0.0017373174196109176,0.007261803390063283
W_N_0017,0.021440768614411354,0.02552447838606691
W_N_0020,0.006804628297686577,0.006468433532372343
W_N_0021,0.0208329688757658,0.027928196424368695
W_N_0022,0.005092479754239321,0.005815189681279561
W_N_0026,0.013005673885345459,0.009400227358500188
W_N_0027,0.0002270502009196207,0.002118807378042856
W_N_0028,0.023584790527820587,0.022430381054442117
W_N_0029,0.010102669708430767,0.007506330464887496
W_N_0030,0.031816355884075165,0.020170947014762457
W_N_0031,0.029679318889975548,0.031248753400642815
W_N_0032,0.03481930494308472,0.044062424459344454
W_N_0033,0.0017840949585661292,0.0036036003088234982
W_N_0034,0.000938786135520786,0.0038041654539236356
W_N_0035,0.004605534486472607,0.007794787433453002
W_N_0036,0.01690971851348877,0.028440182681296052
W_N_0037,0.05022984743118286,0.04804088639629642
W_N_0039,0.037122372537851334,0.032236250083122045
W_N_0040,0.012765610590577126,0.007269917581547339
W_N_0041,0.014041476882994175,0.010566175741168797
W_N_0042,0.022187234833836555,0.02383645023988961
W_N_0043,0.023239189758896828,0.025113043126054523
W_N_0044,0.009443648159503937,0.009779803812425825
W_N_0045,0.020979460328817368,0.02172447025678024
W_N_0046,0.008012330159544945,0.008390337066784428
W_N_0047,0.010355925187468529,0.010759192537861824
W_N_0048,0.022112613543868065,0.032104013798855205
W_N_0049,0.0068183219991624355,0.007995950376262214
W_N_0050,0.016624324023723602,0.008897872032011003
W_N_0051,0.0010773028479889035,0.00730185745933906
W_N_0052,0.006883659400045872,0.007898455314075764
W_N_0053,0.03975425660610199,0.05026742401398086
W_N_0054,0.025516794994473457,0.02945003239298752
W_N_0055,0.00683861318975687,0.007979975877949252
W_N_0056,0.03563021868467331,0.02810360467808484
W_N_0057,0.023563100025057793,0.0259988179703929
W_N_0058,0.02320726402103901,0.02307514609612278
W_N_0059,0.005797187797725201,0.00904635744623843
W_N_0060,0.00036695270682685077,0.001721591694692103
W_N_0061,0.029253803193569183,0.03133324262149243
W_N_0062,0.00917973741889,0.018908013550760796
W_N_0063,0.027291595935821533,0.026537887977137502
W_N_0064,0.01912037469446659,0.01506785554508384
W_N_0065,0.009838372468948364,0.008211327781706574
W_N_0067,0.006647882983088493,0.008010897252232132
W_N_0069,0.024913256987929344,0.02163093585266561
W_N_0070,0.006366373505443335,0.010175169789138669
W_N_0071,0.009310208261013031,0.008031547865833571
W_N_0072,0.00392799312248826,0.0031197184038730874
W_N_0074,0.04364177957177162,0.03760213983249559
W_N_0075,0.003966877236962318,0.003736831028871546
W_N_0078,0.013639888726174831,0.016196671291437887
W_N_0079,0.004344119690358639,0.007212457847472986
W_N_0080,0.004712088964879513,0.005864752624349344
W_N_0081,0.05221109092235565,0.045180974662798655
W_N_0082,0.037913355976343155,0.0208325824455598
