wafer_id,die_row,die_col,old_label,predicted_probability
W_N_0055,0,14,0,0.011220757874773255
W_N_0055,0,15,0,0.019754658777130174
W_N_0055,0,16,0,0.01501810473903387
W_N_0055,0,17,0,0.0017653292650579356
W_N_0055,0,18,0,0.0004468768405281486
W_N_0055,0,19,0,0.026441399085929716
W_N_0055,0,20,0,0.0014092929281731526
W_N_0055,0,21,0,0.0863038962260512
W_N_0055,0,22,0,0.025642054547227313
W_N_0055,0,23,0,0.011348517685336379
W_N_0055,0,24,0,0.009343105614062566
W_N_0055,1,11,1,0.9977092957996123
W_N_0055,1,12,0,0.01917400659894315
W_N_0055,1,13,0,0.009696493927678964
W_N_0055,1,14,0,0.166344221405159
W_N_0055,1,15,0,0.0986794407320636
W_N_0055,1,16,0,0.0006040966361622331
W_N_0055,1,17,0,0.024556041616801624
W_N_0055,1,18,0,0.011498466746127582
W_N_0055,1,19,0,0.016580558101709404
W_N_0055,1,20,0,0.011815662251270759
W_N_0055,1,21,0,0.014500870863892668
W_N_0055,1,22,0,0.006226356598203228
W_N_0055,1,23,0,0.0032228834388338765
W_N_0055,1,24,0,0.002116667182350194
W_N_0055,1,25,0,0.04730811339003442
W_N_0055,1,26,0,0.00902281897418838
W_N_0055,2,10,0,0.0311443743667313
W_N_0055,2,11,0,0.004265963154592073
W_N_0055,2,12,0,0.06353281096894536
W_N_0055,2,13,0,0.027968987387636427
W_N_0055,2,14,0,0.0022969517994582593
W_N_0055,2,15,0,0.002896853762219317
W_N_0055,2,16,0,0.027083701601838255
W_N_0055,2,17,0,0.1205802141441992
W_N_0055,2,18,0,0.01357212900003942
W_N_0055,2,19,0,0.20536859082001613
W_N_0055,2,20,0,0.004876306763547183
W_N_0055,2,21,0,0.09650350867408375
W_N_0055,2,22,0,0.0010411247104606144
W_N_0055,2,23,0,0.011356223281528844
W_N_0055,2,24,0,0.0021332908045340136
W_N_0055,2,25,0,0.016160060925379523
W_N_0055,2,26,0,0.46146681664353545
W_N_0055,2,27,0,0.013375384613748887
W_N_0055,2,28,0,0.09650453727353844
W_N_0055,3,8,0,0.06491772533705285
W_N_0055,3,9,0,0.09565946061645376
W_N_0055,3,10,0,0.00504809056312965
W_N_0055,3,11,0,0.04032863059922453
W_N_0055,3,12,0,0.6192786196266733
W_N_0055,3,13,0,0.05265438850908067
W_N_0055,3,14,0,0.014085469943863683
