wafer_id,label,w_param,w_spatial,w_block,pred_prob_fixed,pred_prob_adaptive
W_N_0136,1,0.76767254,0.0003839439,0.23194358,0.9994717176124204,0.9999960660934448
W_N_0136,1,0.7512842,0.0023371004,0.24637876,0.9856758665016027,0.9998524188995361
W_N_0139,1,0.7469441,0.0015767195,0.25147918,0.9832758639393262,0.9998990297317505
W_F_0029,1,0.7441731,0.0018238102,0.25400305,0.9978459018803776,0.9998971223831177
W_F_0011,1,0.74100226,0.0007927395,0.25820506,0.9991328940119921,0.9999717473983765
W_N_0056,0,0.17117196,0.7100842,0.11874385,0.0001616930275933907,0.012645621784031391
W_N_0063,0,0.1787894,0.70708233,0.11412818,0.00023725879035774755,0.010429267771542072
W_F_0028,0,0.17496122,0.6998736,0.12516513,0.000242753228333655,0.015192672610282898
W_N_0001,0,0.17101672,0.6940586,0.13492472,4.574832861875237e-05,0.014367006719112396
W_N_0130,0,0.1600504,0.69296956,0.14698002,0.00011892567919202889,0.013522762805223465
W_F_0045,1,0.21760222,0.0037884514,0.7786093,0.9533208284979112,0.9990293979644775
W_F_0000,0,0.22574468,0.00797682,0.76627845,0.6453231588224422,0.9917900562286377
W_N_0054,1,0.23502538,0.0018383969,0.76313615,0.961195406214886,0.998914361000061
W_N_0114,0,0.25226223,0.015238123,0.73249966,0.28867734333601747,0.9886181354522705
W_N_0137,0,0.2447351,0.026022712,0.72924215,0.06293738420654006,0.9784039855003357
